Pillar,Category,Level Description,Level,Impact,DDMType,ID/Internal Name,Maintenance Ref,Display Name,Summary,Full Description,Content Text,CTAButtonTitle,Region,Frequency,Action_Provider,CTAURL,"ApplicableAgeRange (from-to, separated by comma)",Applicable Genders (separated by comma),ApplicableEmploymentStatuses (separated by comma),Website Reference,MA Mktplace,Action_Provider,Provider_category,CTAURL,Delivery,Postcode,Free_paid,Afilliate payable,Affiliate platform,Start date,End date,Trust Pilot Rating,Trustpilot url,ESG Concerns,Review Date,G,Action_Provider,Provider_category,CTAURL,Delivery,Postcode,Free_paid,Afilliate payable,Affiliate platform,Start date,End date,Trust Pilot Rating,Trustpilot url,ESG Concerns,Review Date,G,Action_Provider,Provider_category,CTAURL,Delivery,Postcode,Free_paid,Afilliate payable,Affiliate platform,Start date,End date,Trust Pilot Rating,Trustpilot url,ESG Concerns,Review Date,G,Action_Provider,Provider_category,CTAURL,Delivery,Postcode,Free_paid,Afilliate payable,Affiliate platform,Start date,End date,Trust Pilot Rating,Trustpilot url,ESG Concerns,Review Date,END
Health,Mind,Diagnostic,3,2,Development,120,121,Holidays,Importance of taking holidays,Holidays are not just for relaxation; they help us deal with stressors and contribute to our overall wellbeing. Can’t afford a holiday? You can also get the same effect with a day trip!,"Taking holidays can be a great chance to escape your daily routine and see new places, whilst also improving your health or well-being.",Visit site,UK,,,,60-99,All,All,"https://www.ehps.net/ehp/index.php/contents/article/view/1729, https://journals.lww.com/psychosomaticmedicine/Abstract/2000/09000/Are_Vacations_Good_for_Your_Health__The_9_Year.3.aspx",,Age UK,Charity,https://www.ageuk.org.uk/information-advice/travel-hobbies/accessible-holidays/free-days-out-around-the-uk/,Online,N/A,Free,No,None,,,N/A,https://uk.trustpilot.com/review/www.ageuk.org.uk,N/A,Annual,,Leisure care,Company,https://www.leisurecare.com/resources/benefits-senior-travel/,Online,N/A,Free,No,None,,,N/A,N/A,N/A,Six Monthly,,Tourism for all,Charity,https://www.tourismforall.co.uk/,Online,N/A,Paid,??,None,,,N/A,N/A,N/A,Annual,,,,,,,,,,,,,,,,
Health,Mind,Diagnostic,3,,Maintenance,121,,Take a holiday,Take a well-deserved holiday,Put aside some time to take a well-deserved holiday to help you to have some time to relax and recharge. It’s easy to get the travel bug and form a positive habit!,,Sign me up,UK,Annual,Silver travel advisor,https://silvertraveladvisor.com/,60-99,All,All,"https://www.ehps.net/ehp/index.php/contents/article/view/1729, https://journals.lww.com/psychosomaticmedicine/Abstract/2000/09000/Are_Vacations_Good_for_Your_Health__The_9_Year.3.aspx",,Silver travel advisor,Company,https://silvertraveladvisor.com/,Online,N/A,Paid,??,None,,,4.3,https://uk.trustpilot.com/review/silvertraveladvisor.com,N/A,Six monthly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Health,Mind,Diagnostic,3,2,Development,122,123,Holidays,Importance of taking holidays,Holidays are not just for relaxation; they help us deal with stressors in life contribute to our overall wellbeing. Even setting aside holiday time and taking day trips can be beneficial.,"Taking holidays can be a great chance to escape your daily routine and see new places, whilst also improving your health or well-being.",Read,UK,,,,0-59,All,All,https://link.springer.com/chapter/10.1007/978-94-007-1375-8_4,,Thrive global,Content writer,https://community.thriveglobal.com/the-importance-of-taking-a-holiday/,Online,N/A,Free,No,None,,,N/A,https://uk.trustpilot.com/review/thriveglobal.com,N/A,Quarterly,,Bupa,Company,https://www.bupa.co.uk/business/news-and-information/why-holidays-are-good-for-employees-health,Online,N/A,No,??,None,,,4.2,https://uk.trustpilot.com/review/bupa.co.uk,N/A,Annual,,Barrhead travel,Company,https://www.barrheadtravel.co.uk/,Online,N/A,Paid,??,None,,,4.9,https://uk.trustpilot.com/review/www.barrheadtravel.co.uk,N/A,Six monthly,,,,,,,,,,,,,,,,
Health,Mind,Diagnostic,3,,Maintenance,123,,Take a holiday,Take a well-deserved holiday,Put aside some time to take a well-deserved holiday to help you to have some time to relax and recharge. It’s easy to get the travel bug and form a positive habit!,,Sign me up,UK,Annual,Kayak,https://www.kayak.co.uk/holidays,0-59,All,All,https://link.springer.com/chapter/10.1007/978-94-007-1375-8_4,,Kayak,Company,https://www.kayak.co.uk/holidays,Online,N/A,Paid,??,None,,,2.2,https://uk.trustpilot.com/review/kayak.co.uk,N/A,Annual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Health,Mind,Diagnostic,3,2,Development,124,125,How to be mind kind,Mindfulness and meditation tools for a healthier you,"Mindfulness and meditation tools can help you create life-changing habits to support your mental health. Become your mind’s best friend, helping you get through tough times and find joy in every day. ","It can be easy to rush through life without stopping to notice much. Start paying more attention to the present moment, to your own thoughts and feelings, and to the world around you, to improve your mental wellbeing.",Read/Do,All,,,,All,All,All,https://www.health.harvard.edu/blog/can-mindfulness-change-your-brain-202105132455,,NHS,Government department,https://www.nhs.uk/mental-health/self-help/tips-and-support/mindfulness/,Online,N/A,Free,No,None,,,1.5,https://uk.trustpilot.com/review/www.england.nhs.uk,N/A,Annual,,BBC,Company,https://www.bbc.co.uk/programmes/m001817f,Online,N/A,Free,No,None,,,1.4,https://uk.trustpilot.com/review/www.bbc.co.uk,N/A,Annual,,Oxford Mindfulness,Content writer,https://www.oxfordmindfulness.org/free-online-mindfulness-course-sessions/,Online,N/A,Free,No,None,,,N/A,N/A,N/A,Annual,,,,,,,,,,,,,,,,
Health,Mind,Diagnostic,3,,Maintenance,125,,Practice mindfulness,Practice mindfulness daily,Start practicing mindfulness daily and within 21 days it’ll be a great positive habit in your life.,,Sign me up,All,Daily,NHS,https://www.nhs.uk/mental-health/self-help/tips-and-support/mindfulness/,All,All,All,https://www.health.harvard.edu/blog/can-mindfulness-change-your-brain-202105132455,,NHS,Government department,https://www.nhs.uk/mental-health/self-help/tips-and-support/mindfulness/,Online,N/A,Free,No,None,,,1.5,https://uk.trustpilot.com/review/www.england.nhs.uk,N/A,Annual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Health,Mind,Preventative care,2,2,Development,126,127,Fire safety,The importance of fire safety in the home,"Read about the importance of fire safety in your home, to help keep you and your loved ones safe in the event of a fire and how to prevent them in the first place.","The best way to minimise the risk of fire is to take the threat seriously and put in place fire prevention measures. Understanding potential triggers, installing fire alarms, smoke alarms and other devices along with making and sharing fire safety plans are all ways to reduce the risk.",Visit site,UK,,,,All,All,All,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0215724,,Surrey Fire,Government Department,https://surreyfire.co.uk/importance-fire-safety/,Online,N/A,Free,No,None,,,4.7,https://uk.trustpilot.com/review/fireservice.co.uk,N/A,Annual,,Fire services,Government Dept,https://www.fireservice.co.uk/safety/,Online,N/A,Free,No,None,,,4.7,https://uk.trustpilot.com/review/fireservice.co.uk,N/A,Annual,,Ready.gov,Government Dept,https://www.ready.gov/home-fire-escape-plan,Online,N/A,Free,No,None,,,,,,,,,,,,,,,,,,,,,,
Health,Mind,Preventative care,2,,Maintenance,127,,Fire safety,Schedule fire safety checks,Schedule regular fire safety checks to keep you and your loved ones safe. It’s a great habit to get into.,,Sign me up,Uk,Quarterly,Fire services,https://www.fireservice.co.uk/safety/home-fire-safety-check/,All,All,All,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0215724,,Fire services,Government Department,https://www.fireservice.co.uk/safety/home-fire-safety-check/,Online,N/A,Free,No,None,,,4.7,https://uk.trustpilot.com/review/fireservice.co.uk,N/A,Annual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Health,Body,Preventative care,2,2,Development,128,129,Diabetes awareness,All you need to know about diabetes,Diabetes is a lifelong condition that causes your blood sugar levels to become too high. There are two types of diabetes and you can reduce the risk of type 2 diabetes with simple lifestyle changes.,"One in ten people over 40 in the UK are now living with type 2 diabetes, thats three.8 million people. Almost a million more are living with the condition but don't know they have it. By 2030 it is predicted this number will rise to 5.5 million.",Read,All,,,,50-99,All,All,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5297564/,,Diabetes UK,Charity,https://www.diabetes.org.uk/,Online,N/A,Free,No,None,,,N/A,N/A,N/A,Annual,,NHS,Government dept,https://www.stopdiabetes.co.uk/,Online,N/A,Free,No,None,,,1.5,https://uk.trustpilot.com/review/www.england.nhs.uk,N/A,Annual,,Medical News today,Company,https://www.medicalnewstoday.com/articles/318277#1-200-calorie-plan,Online,N/A,Free,No,None,,,2,https://uk.trustpilot.com/review/www.medicalnewstoday.com,N/A,6 Monthly,,,,,,,,,,,,,,,,
Health,Body,Preventative care,2,,Maintenance,129,,Diabetes prevention,Make small changes to reduce risk of diabetes,Type 2 diabetes is a serious health condition but there are lots of things you can do to reduce your risk or even stop you getting it. Build these habits into your routine and help reduce your risk.,,Sign me up,All,Daily,Diabetes UK,https://www.diabetes.org.uk/preventing-type-2-diabetes,50-99,All,All,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5297564/,,Diabetes UK,Charity,https://www.diabetes.org.uk/preventing-type-2-diabetes,Online,N/A,Free,No,None,,,N/A,N/A,N/A,Annual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
